,best_fitness,best_chromosome
50,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
51,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
52,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
53,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
54,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
55,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
56,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
57,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
58,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
59,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
60,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
61,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
62,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
63,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
64,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
65,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
66,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
67,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
68,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
69,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
70,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
71,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
72,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
73,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
74,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
75,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
76,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
77,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
78,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
79,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
80,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
81,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
82,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
83,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
84,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
85,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
86,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
87,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
88,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
89,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
90,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
91,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
92,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
93,-0.6000000000000003,[1 2 3 4 5 6 0 1 0 3 0 5 7 2 7 4 7 6 2 3 0 6 9 2 3 5 1 4 4 2 6 1 4 9 8 8]
